1,الرَّحْمَنُ,Ar-Rahmaan,The Most Merciful,He who wills goodness and mercy for all His creatures
2,الرَّحِيمُ,Ar-Raheem,The Most Compassionate,He who acts with extreme kindness
3,الْمَلِكُ,Al-Malik,The Absolute Ruler,"The Sovereign Lord, The One with the complete Dominion, the One Whose Dominion is clear from imperfection"
4,الْقُدُّوسُ,Al-Quddus,The Holy One,The One who is pure from any imperfection and clear from children and adversaries
5,السَّلاَمُ,As-Salam,"The Peace, Salvation",The One who is free from every imperfection.
6,الْمُؤْمِنُ,Al-Mu’min,The Believer,The One who witnessed for Himself that no one is God but Him. And He witnessed for His believers that they are truthful in their belief that no one is God but Him
7,الْمُهَيْمِنُ,Al-Muhaymin,The Guardian,The One who witnesses the saying and deeds of His creatures
8,الْعَزِيزُ,Al-Aziz,The Victorious,"The Strong, The Defeater who is not defeated"
9,الْجَبَّارُ,Al-Jabbar,The Compeller,The One that nothing happens in His Dominion except that which He willed
10,الْمُتَكَبِّرُ,Al-Mutakabbir,The Greatest,The One who is clear from the attributes of the creatures and from resembling them.
11,الْخَالِقُ,Al-Khaaliq,The Creator,The One who brings everything from non-existence to existence
12,الْبَارِئُ,Al-Baari,The Shaper,"The Maker, The Creator who has the Power to turn the entities."
13,الْمُصَوِّرُ,Al-Musawwir,The Detailer,The One who forms His creatures in different pictures.
14,الْغَفَّارُ,Al-Ghaffaar,The Forgiving One,"The Forgiver, The One who forgives the sins of His slaves time and time again."
15,الْقَهَّارُ,Al-Qahhaar,The Destroyer,"The Dominant, The One who has the perfect Power and is not unable over anything."
16,الْوَهَّابُ,Al-Wahhab,"The Giver, Bestower",The One who is Generous in giving plenty without any return. He is everything that benefits whether Halal or Haram.
17,الرَّزَّاقُ,Ar-Razzaq,The Provider,"The Sustainer, The Provider."
18,الْفَتَّاحُ,Al-Fattah,The Opener,"The Opener, The Reliever, The Judge, The One who opens for His slaves the closed worldly and religious matters."
19,اَلْعَلِيْمُ,Al-Alim,The Knower of All,The Knowledgeable; The One nothing is absent from His knowledge
20,الْقَابِضُ,Al-Qaabid,The Constrictor,"The Constrictor, The Withholder, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
21,الْبَاسِطُ,Al-Baasit,"The Reliever, Expander","The Englarger, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
22,الْخَافِضُ,Al-Khaafid,The Abaser,"The Abaser, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
23,الرَّافِعُ,Ar-Rafi,The Exalter,"The Exalter, The Elevator, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
24,الْمُعِزُّ,Al-Mu’izz,The Bestower of Honours,"He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
25,المُذِلُّ,Al-Muzil,The Humiliator,"The Dishonourer, The Humiliator, He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
26,السَّمِيعُ,As-Sami’,The Hearer,"The Hearer, The One who Hears all things that are heard by His Eternal Hearing without an ear, instrument or organ."
27,الْبَصِيرُ,Al-Baseer,The Seer,"The All-Noticing, The One who Sees all things that are seen by His Eternal Seeing without a pupil or any other instrument."
28,الْحَكَمُ,Al-Hakam,The Judge,"The Judge, He is the Ruler and His judgment is His Word."
29,الْعَدْلُ,Al-Adl,The Just One,"The Just, The One who is entitled to do what He does."
30,اللَّطِيفُ,Al-Lateef,The Subtle One,"The Subtle One, The Gracious, The One who is kind to His slaves and endows upon them."
31,الْخَبِيرُ,Al-Khabeer,The Aware,The One who knows the truth of things.
32,الْحَلِيمُ,Al-Haleem,The Soft One,"The Forebearing, The One who delays the punishment for those who deserve it and then He might forgive them."
33,الْعَظِيمُ,Al-Azeem,The Magnificent One,"The Great One, The Mighty, The One deserving the attributes of Exaltment, Glory, Extolement, and Purity from all imperfection."
34,الْغَفُورُ,Al-Ghafoor,The Forgiver and Hider of Faults,"The All-Forgiving, The Forgiving, The One who forgives a lot."
35,الشَّكُورُ,Ash-Shakoor,The Thankful One,"The Grateful, The Appreciative, The One who gives a lot of reward for a little obedience."
36,الْعَلِيُّ,Al-Aliyy,The Highest,"The Most High, The One who is clear from the attributes of the creatures."
